id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,detailed_mood,language,explicit
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020s,euphoric,english,0
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,65,2020s,serene,instrumental,0
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,72,2010s,aggressive,english,0
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,58,2020s,nostalgic,instrumental,0
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020s,triumphant,english,0
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,45,2010s,dreamy,instrumental,0
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,52,2010s,nostalgic,english,0
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,70,2020s,melancholic,instrumental,0
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,62,2020s,serene,instrumental,0
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,74,2020s,euphoric,english,0
11,Velvet Skyline,Amber Pulse,electronic,dreamy,0.68,126,0.74,0.71,0.29,68,2010s,dreamy,instrumental,0
12,Corner Store Poems,Blue Harbor,hip hop,reflective,0.58,92,0.52,0.84,0.12,76,2020s,nostalgic,english,1
13,Golden Fields,The Harvesters,country,warm,0.47,104,0.69,0.63,0.84,55,2010s,nostalgic,english,0
14,Neon Lanterns,Signal Bloom,funk,playful,0.79,118,0.88,0.86,0.16,66,2020s,uplifting,english,0
15,Winter Cathedral,White Echo,classical,contemplative,0.22,66,0.41,0.19,0.97,48,2000s,serene,instrumental,0
16,Thunder Parade,Iron Coast,metal,heroic,0.96,168,0.33,0.57,0.04,80,2010s,aggressive,english,1
17,Tidal Motion,Sun Reef,reggae,laid-back,0.54,96,0.78,0.72,0.58,61,2010s,uplifting,english,0
18,After Hours Glow,Marble Circuit,soul,romantic,0.63,102,0.83,0.68,0.47,69,2020s,romantic,english,0
